,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,POWER,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1283084&DL=1000&utm_content=SLeligible,Hyundai,59300,14010,12-Feb-2018,79000,2018,738,Auto,22806,18/04/2024,11583,11583,125,40000,1369,1591,1345,2,Mid-Sized Sedan
1,https://www.sgcarmart.com/used_cars/info.php?ID=1289791&DL=4157,BMW,152888,15950,10-Oct-2022,600,2022,684,Auto,94713,18/04/2024,30886,35241,107,80501,3071,1499,1340,1,Hatchback
2,https://www.sgcarmart.com/used_cars/info.php?ID=1283706&DL=3723,Mercedes-Benz,213800,26010,23-Jun-2021,15700,2021,1202,Auto,74121,18/04/2024,44306,54029,301,46790,2619,1991,1590,1,Sports Car
3,https://www.sgcarmart.com/used_cars/info.php?ID=1280512&DL=3626&utm_content=SLeligible,Kia,50888,15390,28-Nov-2016,85000,2016,1318,Auto,27513,18/04/2024,,,139,56206,949,1685,1525,1,MPV
4,https://www.sgcarmart.com/used_cars/info.php?ID=1213190&DL=2493&utm_content=SLeligible,2016,45300,14950,13-Oct-2016,,2016,682,Auto,23497,18/04/2024,20928,16300,128,55200,884,1496,1185,3,SUV
5,https://www.sgcarmart.com/used_cars/info.php?ID=1288812&DL=3630,Toyota,30888,17610,12-Feb-2015,,2014,1638,Auto,22634,18/04/2024,29237,32932,167,75289,274,2362,1790,3,MPV
6,https://www.sgcarmart.com/used_cars/info.php?ID=1278869&DL=3648&utm_content=SLeligible,Volvo,147777,23560,29-Apr-2019,,2018,1176,Auto,68042,18/04/2024,47521,58530,315,48000,1825,1969,1919,2,SUV
7,https://www.sgcarmart.com/used_cars/info.php?ID=1289114&DL=4108,BMW,29800,18220,28-May-2015,,2014,742,Auto,18899,18/04/2024,26620,19268,134,75002,404,1598,1405,3,Luxury Sedan
8,https://www.sgcarmart.com/used_cars/info.php?ID=1282535&DL=3214&utm_content=SLeligible,Toyota,53800,11230,06-Feb-2009,,2008,1023,Auto,12481,18/04/2024,12746,12746,108,26047,1733,1496,1130,3,Mid-Sized Sedan
9,https://www.sgcarmart.com/used_cars/info.php?ID=1253721&DL=3968&utm_content=SLeligible,Audi,147800,19590,28-Sep-2020,34000,2020,624,Auto,58735,18/04/2024,36487,43082,147,40989,2349,1395,1470,2,Sports Car
10,https://www.sgcarmart.com/used_cars/info.php?ID=1261216&DL=2077&utm_content=SLeligible,Volvo,94800,20150,20-Apr-2018,117000,2018,1176,Auto,34763,18/04/2024,25816,28143,248,37605,1461,1969,1683,2,SUV
11,https://www.sgcarmart.com/used_cars/info.php?ID=1265402&DL=2352&utm_content=SLeligible,Honda,50999,16710,12-Jul-2016,76889,2015,682,Auto,27404,18/04/2024,25329,27461,147,49000,793,1496,1510,1,MPV
12,https://www.sgcarmart.com/used_cars/info.php?ID=1261656&DL=3801&utm_content=SLeligible,Toyota,226888,28610,03-Mar-2021,26959,2019,1792,Auto,77459,18/04/2024,,,194,49778,2192,2493,2110,1,MPV
13,https://www.sgcarmart.com/used_cars/info.php?ID=1240381&DL=2952&utm_content=SLeligible,Jaguar,98000,20440,21-Apr-2016,136000,2016,1212,Auto,76158,18/04/2024,78902,114024,237,38610,732,1999,1824,3,Luxury Sedan
14,https://www.sgcarmart.com/used_cars/info.php?ID=1290188&DL=1000&utm_content=SLeligible,Suzuki,51800,11240,26-Nov-2008,236000,2008,1812,Auto,14802,18/04/2024,18995,18995,138,32121,1677,1995,1555,6,SUV
15,https://www.sgcarmart.com/used_cars/info.php?ID=1289839&DL=1213,Mercedes-Benz,161800,27180,15-Apr-2019,39956,2018,1202,Auto,52046,18/04/2024,43031,52244,181,31001,1497,1991,1705,1,SUV
16,https://www.sgcarmart.com/used_cars/info.php?ID=1283902&DL=2080,Volkswagen,76800,14840,30-Jul-2018,,2017,624,Auto,32582,18/04/2024,24673,26543,123,32699,1551,1395,1270,3,Hatchback
17,https://www.sgcarmart.com/used_cars/info.php?ID=1238590&DL=2352&utm_content=SLeligible,Honda,51999,15890,07-Dec-2016,105388,2016,742,Auto,26203,18/04/2024,20173,20243,123,53334,948,1597,1249,2,Mid-Sized Sedan
18,https://www.sgcarmart.com/used_cars/info.php?ID=1263660&DL=4465&utm_content=SLeligible,Toyota,52800,10950,12-Feb-2009,127000,2009,1026,Auto,12405,18/04/2024,12104,12104,107,25727,1734,1497,1095,4,Mid-Sized Sedan
19,https://www.sgcarmart.com/used_cars/info.php?ID=1290320&DL=1032,Kia,35800,13820,19-May-2016,110801,2016,738,Auto,18393,18/04/2024,14036,14036,127,47889,760,1591,1295,1,Mid-Sized Sedan
20,https://www.sgcarmart.com/used_cars/info.php?ID=1285408&DL=4592&utm_content=SLeligible,Nissan,55800,11150,22-Aug-2014,,2014,742,Auto,,18/04/2024,15603,10603,113,,1825,1598,1205,2,Mid-Sized Sedan
21,https://www.sgcarmart.com/used_cars/info.php?ID=1267378&DL=3626&utm_content=SLeligible,Mitsubishi,78888,11830,02-Oct-2020,33000,2019,506,Auto,26810,18/04/2024,14263,5000,79,35710,2343,1193,940,1,Mid-Sized Sedan
22,https://www.sgcarmart.com/used_cars/info.php?ID=1276490&DL=3137&utm_content=SLeligible,Citroen,73800,15660,30-May-2018,91150,2018,508,Auto,28744,18/04/2024,18723,18723,108,38001,1491,1199,1050,4,SUV
23,https://www.sgcarmart.com/used_cars/info.php?ID=1282172&DL=2448,Toyota,110800,15210,26-Mar-2021,42000,2021,680,Auto,38134,18/04/2024,,,109,43501,2227,1490,1190,2,SUV
24,https://www.sgcarmart.com/used_cars/info.php?ID=1287347&DL=3142,Hyundai,34800,13260,07-Jun-2016,,2016,738,Auto,18025,18/04/2024,13007,13007,125,47889,769,1591,1345,2,Mid-Sized Sedan
25,https://www.sgcarmart.com/used_cars/info.php?ID=1216769&DL=1127&utm_content=SLeligible,Toyota,189800,19740,13-Jul-2023,,2023,,Auto,105401,18/04/2024,,,138,102002,3349,1797,1630,1,MPV
26,https://www.sgcarmart.com/used_cars/info.php?ID=1290252&DL=4405&utm_content=SLeligible,Volkswagen,67800,9810,17-Mar-2011,,2010,868,Auto,28615,18/04/2024,20519,20519,120,41397,2196,1390,1329,6,Mid-Sized Sedan
27,https://www.sgcarmart.com/used_cars/info.php?ID=1289376&DL=2726&utm_content=SLeligible,Toyota,49800,14750,03-Sep-2007,,2007,2457,Auto,16997,18/04/2024,28714,31586,167,50355,1220,2362,1730,4,MPV
28,https://www.sgcarmart.com/used_cars/info.php?ID=1289356&DL=1000&utm_content=SLeligible,BMW,139000,18440,16-Nov-2011,65000,2011,3071,Auto,45680,18/04/2024,81564,81564,315,60586,2738,2979,1840,6,Sports Car
29,https://www.sgcarmart.com/used_cars/info.php?ID=1290087&DL=2485,MINI,43800,19950,21-Oct-2015,48700,2015,1210,Auto,23861,18/04/2024,28902,27463,189,58109,547,1998,1240,2,Hatchback
30,https://www.sgcarmart.com/used_cars/info.php?ID=1289807&DL=1009,Toyota,48900,14240,06-Feb-2017,118271,2016,742,Auto,25084,18/04/2024,17987,17987,120,50991,1008,1598,1205,3,Mid-Sized Sedan
31,https://www.sgcarmart.com/used_cars/info.php?ID=1219912&DL=2296&utm_content=SLeligible,Tesla,169800,18920,27-Oct-2021,27000,2021,5384,Auto,101495,18/04/2024,,,505,80210,2743,,1844,1,Luxury
32,https://www.sgcarmart.com/used_cars/info.php?ID=1288937&DL=4221,BMW,99800,17460,26-Sep-2018,80888,2018,684,Auto,45043,18/04/2024,37489,44485,134,31307,1617,1499,1425,2,Luxury Sedan
33,https://www.sgcarmart.com/used_cars/info.php?ID=1281172&DL=3287,Toyota,208800,20910,14-Jun-2023,9000,2020,1784,Auto,136506,18/04/2024,,,214,120702,3321,2487,1620,1,SUV
34,https://www.sgcarmart.com/used_cars/info.php?ID=1288841&DL=1269,Toyota,143888,14960,19-Jun-2023,4900,2022,680,Auto,99949,18/04/2024,,,109,98001,3345,1490,1190,1,SUV
35,https://www.sgcarmart.com/used_cars/info.php?ID=1241277&DL=3301&utm_content=SLeligible,Maserati,158000,22190,29-Jun-2011,87000,2011,5632,Auto,35401,18/04/2024,94172,94172,399,49716,2588,4244,1880,5,Sports Car
36,https://www.sgcarmart.com/used_cars/info.php?ID=1288242&DL=3214,Mazda,30800,12520,18-May-2016,,2016,682,Auto,15670,18/04/2024,14520,9520,113,47889,739,1496,1079,1,Mid-Sized Sedan
37,https://www.sgcarmart.com/used_cars/info.php?ID=1287956&DL=4221,Mercedes-Benz,46800,15960,08-Jul-2016,124888,2016,740,Auto,24081,18/04/2024,25531,22744,120,47020,799,1595,1425,3,Hatchback
38,https://www.sgcarmart.com/used_cars/info.php?ID=1289232&DL=4442,Honda,49800,17980,07-Oct-2016,154000,2015,682,Auto,19220,18/04/2024,20602,10843,128,51507,888,1496,1190,4,SUV
39,https://www.sgcarmart.com/used_cars/info.php?ID=1289724&DL=4645,Lexus,73800,19970,17-Nov-2016,80001,2016,1210,Auto,41214,18/04/2024,37509,44513,241,56206,919,1998,1620,2,Luxury Sedan
40,https://www.sgcarmart.com/used_cars/info.php?ID=1280743&DL=4239&utm_content=SLeligible,Kia,67800,16030,03-Oct-2017,86000,2017,1212,Auto,34680,18/04/2024,23416,24783,152,53711,1249,1999,1500,3,SUV
41,https://www.sgcarmart.com/used_cars/info.php?ID=1289869&DL=4554,Audi,37000,17810,24-Mar-2015,80000,2014,1194,Auto,27138,18/04/2024,38516,40923,177,71889,35,1984,1565,2,Luxury Sedan
42,https://www.sgcarmart.com/used_cars/info.php?ID=1228404&DL=4061&utm_content=SLeligible,Mercedes-Benz,215888,22620,02-Jan-2014,96000,2013,1322,Auto,122233,18/04/2024,49584,61418,355,128094,3468,1991,1555,2,Sports Car
43,https://www.sgcarmart.com/used_cars/info.php?ID=1289118&DL=3048&utm_content=SLeligible,Honda,28800,13600,17-Aug-2011,,2009,767,Auto,9348,18/04/2024,14818,14818,97,22069,763,1339,1010,4,Hatchback
44,https://www.sgcarmart.com/used_cars/info.php?ID=1271292&DL=3570&utm_content=SLeligible,Mercedes-Benz,229888,23900,20-Jun-2022,18250,2022,1202,Auto,134081,18/04/2024,,,207,100684,2981,1991,1625,1,Luxury
45,https://www.sgcarmart.com/used_cars/info.php?ID=1283060&DL=3570,Mercedes-Benz,153888,17390,13-Jan-2022,48000,2021,586,Auto,70516,18/04/2024,33282,38595,128,53709,2800,1332,1380,1,Luxury Sedan
46,https://www.sgcarmart.com/used_cars/info.php?ID=1286165&DL=3333,Honda,58800,15360,19-Jun-2017,109253,2017,742,Auto,27520,18/04/2024,20225,20315,123,45201,1155,1597,1249,2,Mid-Sized Sedan
47,https://www.sgcarmart.com/used_cars/info.php?ID=1269401&DL=2397&utm_content=SLeligible,Mercedes-Benz,73800,20220,13-Jan-2017,118300,2016,740,Auto,37336,18/04/2024,35649,36909,154,55501,975,1595,1425,1,Luxury Sedan
