,PRICE,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,POWER,LISTING_URL,BRAND
0,59300.0,79000.0,40000.0,1369.0,6.0,22806.0,11583.0,1591.0,1345.0,125.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283084&DL=1000&utm_content=SLeligible,Hyundai
1,152888.0,600.0,80501.0,3071.0,2.0,94713.0,30886.0,1499.0,1340.0,107.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289791&DL=4157,BMW
2,213800.0,15700.0,46790.0,2619.0,3.0,74121.0,44306.0,1991.0,1590.0,301.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283706&DL=3723,Mercedes-Benz
9,147800.0,34000.0,40989.0,2349.0,4.0,58735.0,36487.0,1395.0,1470.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1253721&DL=3968&utm_content=SLeligible,Audi
10,94800.0,117000.0,37605.0,1461.0,6.0,34763.0,25816.0,1969.0,1683.0,248.0,https://www.sgcarmart.com/used_cars/info.php?ID=1261216&DL=2077&utm_content=SLeligible,Volvo
11,50999.0,76889.0,49000.0,793.0,9.0,27404.0,25329.0,1496.0,1510.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1265402&DL=2352&utm_content=SLeligible,Honda
13,98000.0,136000.0,38610.0,732.0,8.0,76158.0,78902.0,1999.0,1824.0,237.0,https://www.sgcarmart.com/used_cars/info.php?ID=1240381&DL=2952&utm_content=SLeligible,Jaguar
14,51800.0,236000.0,32121.0,1677.0,16.0,14802.0,18995.0,1995.0,1555.0,138.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290188&DL=1000&utm_content=SLeligible,Suzuki
15,161800.0,39956.0,31001.0,1497.0,6.0,52046.0,43031.0,1991.0,1705.0,181.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289839&DL=1213,Mercedes-Benz
17,51999.0,105388.0,53334.0,948.0,8.0,26203.0,20173.0,1597.0,1249.0,123.0,https://www.sgcarmart.com/used_cars/info.php?ID=1238590&DL=2352&utm_content=SLeligible,Honda
18,52800.0,127000.0,25727.0,1734.0,15.0,12405.0,12104.0,1497.0,1095.0,107.0,https://www.sgcarmart.com/used_cars/info.php?ID=1263660&DL=4465&utm_content=SLeligible,Toyota
19,35800.0,110801.0,47889.0,760.0,8.0,18393.0,14036.0,1591.0,1295.0,127.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290320&DL=1032,Kia
21,78888.0,33000.0,35710.0,2343.0,5.0,26810.0,14263.0,1193.0,940.0,79.0,https://www.sgcarmart.com/used_cars/info.php?ID=1267378&DL=3626&utm_content=SLeligible,Mitsubishi
22,73800.0,91150.0,38001.0,1491.0,6.0,28744.0,18723.0,1199.0,1050.0,108.0,https://www.sgcarmart.com/used_cars/info.php?ID=1276490&DL=3137&utm_content=SLeligible,Citroen
28,139000.0,65000.0,60586.0,2738.0,13.0,45680.0,81564.0,2979.0,1840.0,315.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289356&DL=1000&utm_content=SLeligible,BMW
29,43800.0,48700.0,58109.0,547.0,9.0,23861.0,28902.0,1998.0,1240.0,189.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290087&DL=2485,MINI
30,48900.0,118271.0,50991.0,1008.0,8.0,25084.0,17987.0,1598.0,1205.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289807&DL=1009,Toyota
32,99800.0,80888.0,31307.0,1617.0,6.0,45043.0,37489.0,1499.0,1425.0,134.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288937&DL=4221,BMW
35,158000.0,87000.0,49716.0,2588.0,13.0,35401.0,94172.0,4244.0,1880.0,399.0,https://www.sgcarmart.com/used_cars/info.php?ID=1241277&DL=3301&utm_content=SLeligible,Maserati
37,46800.0,124888.0,47020.0,799.0,8.0,24081.0,25531.0,1595.0,1425.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1287956&DL=4221,Mercedes-Benz
38,49800.0,154000.0,51507.0,888.0,9.0,19220.0,20602.0,1496.0,1190.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289232&DL=4442,Honda
39,73800.0,80001.0,56206.0,919.0,8.0,41214.0,37509.0,1998.0,1620.0,241.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289724&DL=4645,Lexus
40,67800.0,86000.0,53711.0,1249.0,7.0,34680.0,23416.0,1999.0,1500.0,152.0,https://www.sgcarmart.com/used_cars/info.php?ID=1280743&DL=4239&utm_content=SLeligible,Kia
41,37000.0,80000.0,71889.0,35.0,10.0,27138.0,38516.0,1984.0,1565.0,177.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289869&DL=4554,Audi
42,215888.0,96000.0,128094.0,3468.0,11.0,122233.0,49584.0,1991.0,1555.0,355.0,https://www.sgcarmart.com/used_cars/info.php?ID=1228404&DL=4061&utm_content=SLeligible,Mercedes-Benz
45,153888.0,48000.0,53709.0,2800.0,3.0,70516.0,33282.0,1332.0,1380.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283060&DL=3570,Mercedes-Benz
46,58800.0,109253.0,45201.0,1155.0,7.0,27520.0,20225.0,1597.0,1249.0,123.0,https://www.sgcarmart.com/used_cars/info.php?ID=1286165&DL=3333,Honda
47,73800.0,118300.0,55501.0,975.0,8.0,37336.0,35649.0,1595.0,1425.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1269401&DL=2397&utm_content=SLeligible,Mercedes-Benz
48,115800.0,97500.0,52410.0,1826.0,5.0,53559.0,33716.0,1984.0,1480.0,187.0,https://www.sgcarmart.com/used_cars/info.php?ID=1246777&DL=4524&utm_content=SLeligible,Audi
49,50800.0,140000.0,25727.0,1736.0,15.0,12419.0,11635.0,1591.0,1264.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1270537&DL=4472&utm_content=SLeligible,Hyundai
50,192800.0,74000.0,34000.0,1890.0,6.0,65150.0,50691.0,2493.0,2030.0,179.0,https://www.sgcarmart.com/used_cars/info.php?ID=1262562&DL=4277&utm_content=SLeligible,Toyota
51,23800.0,113888.0,61000.0,431.0,9.0,12380.0,19382.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288189&DL=1244,Nissan
54,88500.0,75000.0,28000.0,1643.0,6.0,30252.0,23691.0,999.0,1315.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1266384&DL=3024&utm_content=SLeligible,Audi
55,73800.0,73679.0,28199.0,1672.0,6.0,23208.0,14645.0,1591.0,1345.0,125.0,https://www.sgcarmart.com/used_cars/info.php?ID=1253744&DL=1054&utm_content=SLeligible,Hyundai
56,111500.0,73201.0,35710.0,2319.0,5.0,39556.0,21751.0,999.0,1275.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1249489&DL=2975&utm_content=SLeligible,Audi
57,81000.0,79000.0,56089.0,913.0,8.0,39306.0,39138.0,1595.0,1475.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283213&DL=3545,Mercedes-Benz
58,123688.0,141300.0,37900.0,2042.0,5.0,47812.0,30808.0,1998.0,1695.0,227.0,https://www.sgcarmart.com/used_cars/info.php?ID=1275052&DL=1000&utm_content=SLeligible,Toyota
60,275000.0,30000.0,109948.0,3287.0,11.0,99375.0,155489.0,4663.0,1785.0,429.0,https://www.sgcarmart.com/used_cars/info.php?ID=1223214&DL=2093&utm_content=SLeligible,Mercedes-Benz
62,133800.0,105000.0,58124.0,2707.0,13.0,43330.0,33982.0,1984.0,1344.0,252.0,https://www.sgcarmart.com/used_cars/info.php?ID=1199474&DL=4419&utm_content=SLeligible,Volkswagen
63,33800.0,102000.0,57089.0,515.0,9.0,19082.0,26913.0,1395.0,1300.0,123.0,https://www.sgcarmart.com/used_cars/info.php?ID=1257679&DL=2175&utm_content=SLeligible,Audi
