,PRICE,PREDICTED_PRICE,LISTING_URL,BRAND,RECOMMENDED
0,59300.0,59479.135,https://www.sgcarmart.com/used_cars/info.php?ID=1283084&DL=1000&utm_content=SLeligible,Hyundai,True
1,152888.0,166216.28,https://www.sgcarmart.com/used_cars/info.php?ID=1289791&DL=4157,BMW,True
3,147800.0,148760.18,https://www.sgcarmart.com/used_cars/info.php?ID=1253721&DL=3968&utm_content=SLeligible,Audi,True
5,50999.0,51256.31,https://www.sgcarmart.com/used_cars/info.php?ID=1265402&DL=2352&utm_content=SLeligible,Honda,True
6,98000.0,116027.01,https://www.sgcarmart.com/used_cars/info.php?ID=1240381&DL=2952&utm_content=SLeligible,Jaguar,True
7,51800.0,54411.015,https://www.sgcarmart.com/used_cars/info.php?ID=1290188&DL=1000&utm_content=SLeligible,Suzuki,True
9,51999.0,52405.26,https://www.sgcarmart.com/used_cars/info.php?ID=1238590&DL=2352&utm_content=SLeligible,Honda,True
10,52800.0,53179.625,https://www.sgcarmart.com/used_cars/info.php?ID=1263660&DL=4465&utm_content=SLeligible,Toyota,True
11,35800.0,37745.105,https://www.sgcarmart.com/used_cars/info.php?ID=1290320&DL=1032,Kia,True
12,78888.0,81067.935,https://www.sgcarmart.com/used_cars/info.php?ID=1267378&DL=3626&utm_content=SLeligible,Mitsubishi,True
17,99800.0,101250.505,https://www.sgcarmart.com/used_cars/info.php?ID=1288937&DL=4221,BMW,True
19,46800.0,47894.675,https://www.sgcarmart.com/used_cars/info.php?ID=1287956&DL=4221,Mercedes-Benz,True
21,73800.0,74967.88,https://www.sgcarmart.com/used_cars/info.php?ID=1289724&DL=4645,Lexus,True
22,67800.0,68477.26,https://www.sgcarmart.com/used_cars/info.php?ID=1280743&DL=4239&utm_content=SLeligible,Kia,True
23,37000.0,44535.185,https://www.sgcarmart.com/used_cars/info.php?ID=1289869&DL=4554,Audi,True
24,215888.0,218905.32,https://www.sgcarmart.com/used_cars/info.php?ID=1228404&DL=4061&utm_content=SLeligible,Mercedes-Benz,True
25,153888.0,154485.125,https://www.sgcarmart.com/used_cars/info.php?ID=1283060&DL=3570,Mercedes-Benz,True
27,73800.0,77587.16,https://www.sgcarmart.com/used_cars/info.php?ID=1269401&DL=2397&utm_content=SLeligible,Mercedes-Benz,True
28,115800.0,117202.525,https://www.sgcarmart.com/used_cars/info.php?ID=1246777&DL=4524&utm_content=SLeligible,Audi,True
29,50800.0,51475.33,https://www.sgcarmart.com/used_cars/info.php?ID=1270537&DL=4472&utm_content=SLeligible,Hyundai,True
31,23800.0,24242.36,https://www.sgcarmart.com/used_cars/info.php?ID=1288189&DL=1244,Nissan,True
36,123688.0,124496.72,https://www.sgcarmart.com/used_cars/info.php?ID=1275052&DL=1000&utm_content=SLeligible,Toyota,True
39,33800.0,38531.225,https://www.sgcarmart.com/used_cars/info.php?ID=1257679&DL=2175&utm_content=SLeligible,Audi,True
42,56800.0,57267.515,https://www.sgcarmart.com/used_cars/info.php?ID=1289051&DL=2725,Nissan,True
44,109800.0,116906.085,https://www.sgcarmart.com/used_cars/info.php?ID=1278736&DL=2984&utm_content=SLeligible,BMW,True
46,95888.0,99468.11,https://www.sgcarmart.com/used_cars/info.php?ID=1222048&DL=3451&utm_content=SLeligible,Volkswagen,True
47,167800.0,191056.945,https://www.sgcarmart.com/used_cars/info.php?ID=1229096&DL=2792&utm_content=SLeligible,BMW,True
48,127800.0,153782.46,https://www.sgcarmart.com/used_cars/info.php?ID=1284048&DL=2729,Volvo,True
49,89988.0,90698.84,https://www.sgcarmart.com/used_cars/info.php?ID=1272814&DL=2870&utm_content=SLeligible,Honda,True
50,55800.0,56166.86,https://www.sgcarmart.com/used_cars/info.php?ID=1289652&DL=3162&utm_content=SLeligible,Honda,True
53,80800.0,83447.06,https://www.sgcarmart.com/used_cars/info.php?ID=1289470&DL=3414,Honda,True
54,268888.0,272044.64,https://www.sgcarmart.com/used_cars/info.php?ID=1290377&DL=3632,Mercedes-Benz,True
56,42800.0,44378.41,https://www.sgcarmart.com/used_cars/info.php?ID=1286922&DL=4412,BMW,True
59,56800.0,57025.465,https://www.sgcarmart.com/used_cars/info.php?ID=1278939&DL=1240&utm_content=SLeligible,Volkswagen,True
60,15800.0,17120.06,https://www.sgcarmart.com/used_cars/info.php?ID=1289653&DL=4659,Toyota,True
68,113300.0,115736.705,https://www.sgcarmart.com/used_cars/info.php?ID=1289974&DL=3541,Audi,True
69,45800.0,60991.085,https://www.sgcarmart.com/used_cars/info.php?ID=1288737&DL=3750&utm_content=SLeligible,Nissan,True
71,201777.0,205221.645,https://www.sgcarmart.com/used_cars/info.php?ID=1252717&DL=3648&utm_content=SLeligible,Mercedes-Benz,True
