,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
0,16350.0,16504.61426127765,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277757&DL=2025
4,15290.0,19804.191467592693,True,https://www.sgcarmart.com/used_cars/info.php?ID=1259578&DL=3648&utm_content=SLeligible
5,14730.0,15811.025462785441,True,https://www.sgcarmart.com/used_cars/info.php?ID=1230722&DL=3647&utm_content=SLeligible
12,12910.0,15336.317807006679,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275279&DL=2728
14,15690.0,15989.359713384383,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276649&DL=3100
16,17390.0,20079.570994307007,True,https://www.sgcarmart.com/used_cars/info.php?ID=1246706&DL=1032&utm_content=SLeligible
17,20830.0,21305.940749408317,True,https://www.sgcarmart.com/used_cars/info.php?ID=1271377&DL=2175
22,14460.0,14769.894484573451,True,https://www.sgcarmart.com/used_cars/info.php?ID=1252169&DL=3037&utm_content=SLeligible
23,14800.0,18652.12734635898,True,https://www.sgcarmart.com/used_cars/info.php?ID=1264521&DL=3287&utm_content=SLeligible
25,19270.0,24346.172368721058,True,https://www.sgcarmart.com/used_cars/info.php?ID=1265712&DL=2469&utm_content=SLeligible
27,15250.0,16120.192151314415,True,https://www.sgcarmart.com/used_cars/info.php?ID=1279053&DL=2728
28,13320.0,14493.847037670537,True,https://www.sgcarmart.com/used_cars/info.php?ID=1271843&DL=1368
34,13130.0,15547.304332905427,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278509&DL=3013
38,36310.0,39931.64297302524,True,https://www.sgcarmart.com/used_cars/info.php?ID=1261542&DL=4247&utm_content=SLeligible
39,18990.0,20692.710353693456,True,https://www.sgcarmart.com/used_cars/info.php?ID=1259137&DL=2010&utm_content=SLeligible
44,19020.0,19835.00924306786,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278069&DL=1433
45,13030.0,15784.982386389154,True,https://www.sgcarmart.com/used_cars/info.php?ID=1271632&DL=2140
47,83680.0,84193.51037466661,True,https://www.sgcarmart.com/used_cars/info.php?ID=1260562&DL=3573&utm_content=SLeligible
51,13750.0,15040.277429791357,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277731&DL=1000&utm_content=SLeligible
