,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1277757&DL=2025,Mitsubishi,92888,16350,08-Jan-2019,75333,2018,684,Auto,34590,13/03/2024,25699,27979,31101,1735,1499,1490,1,SUV
1,https://www.sgcarmart.com/used_cars/info.php?ID=1211304&DL=3283&utm_content=SLeligible,Volvo,45800,16300,14-Mar-2016,77000,2016,684,Auto,25170,13/03/2024,24571,26400,46651,730,1498,1589,2,Luxury Sedan
2,https://www.sgcarmart.com/used_cars/info.php?ID=1269122&DL=3004&utm_content=SLeligible,Honda,64800,13090,23-Feb-2009,161163,2008,1110,Auto,12737,13/03/2024,20211,20211,25727,1499,1595,1220,1,Mid-Sized Sedan
3,https://www.sgcarmart.com/used_cars/info.php?ID=1096998&DL=3989&utm_content=SLeligible,Mitsubishi,129800,34910,16-Apr-2008,,2007,1815,Manual,18652,13/03/2024,45323,45323,50168,1342,1998,1520,,Sports Car
4,https://www.sgcarmart.com/used_cars/info.php?ID=1259578&DL=3648&utm_content=SLeligible,Infiniti,87777,15290,23-Oct-2018,109000,2018,1202,Auto,38569,13/03/2024,30333,34467,31302,1679,1991,1644,2,Luxury Sedan
5,https://www.sgcarmart.com/used_cars/info.php?ID=1230722&DL=3647&utm_content=SLeligible,Volvo,44600,14730,27-Apr-2016,105500,2016,684,Auto,26068,13/03/2024,24806,26729,47300,763,1498,1589,1,Luxury Sedan
6,https://www.sgcarmart.com/used_cars/info.php?ID=1118202&DL=2356&utm_content=SLeligible,BMW,193800,19370,26-Jun-2014,85524,2013,2362,Auto,,13/03/2024,85073,125132,,0,2979,1750,4,Luxury Sedan
7,https://www.sgcarmart.com/used_cars/info.php?ID=1277169&DL=1400,Hyundai,68800,17890,29-Jun-2017,78000,2017,738,Auto,28504,13/03/2024,19786,19786,47501,1190,1591,1594,2,SUV
8,https://www.sgcarmart.com/used_cars/info.php?ID=1277993&DL=2984,Mercedes-Benz,199800,23890,27-May-2021,,2020,586,Auto,77540,13/03/2024,45181,55254,50100,2618,1332,1610,1,SUV
9,https://www.sgcarmart.com/used_cars/info.php?ID=1263710&DL=1220&utm_content=SLeligible,Audi,88800,14170,18-Jun-2010,162000,2010,1672,Auto,21033,13/03/2024,41273,41273,33568,2284,1984,1550,,Sports Car
